,,,,,,,
1,Item Name,Rarity,Demand,Value,Rate Of Change,Tax (Gems),Tax (Gold)
2,JJK Crate,​,,,​,,
3,Toji's Attire,Legendary,7,🔑46.8k/52viz,Stable,"💎5,625",N/A
4,Black Flash Aura,Legendary,3,"🔑21,150/23.5viz",Dropping,"💎5,625",N/A
5,Cursed Markings,Legendary,2,🔑10.8k/12viz,Stable,"💎5,625",N/A
6,Mahoraga's Wheel,Epic,8,🔑7.2k/8viz,Stable,💎1.5k,N/A
7,Geto's Attire,Epic,1,🔑900/1viz,Stable,💎1.5k,N/A
8,Soul Split Katana,Epic,4,🔑1.8k/2viz,Stable,💎1.5k,N/A
9,Inverted Spear Of Heaven,Rare,4,🔑270/0.3viz,Stable,💎300,N/A
10,Sorcerer's Attire,Rare,3,🔑180/0.2viz,Stable,💎300,N/A
11,Cursed Energy,Rare,5,🔑315/0.35viz,Stable,💎300,N/A
12,Utahime's Attire,Uncommon,2,🔑90/0.1viz,Stable,💎150,N/A
13,Gojo's Blindfold,Uncommon,2,🔑60/📜20,Stable,💎150,N/A
14,Katana,Uncommon,2,🔑90/0.1viz,Stable,💎150,N/A
15,Jet Black Sword,Common,1,🔑45/📜15,Stable,💎37,N/A
16,Gojo's Glasses,Common,1,🔑60/📜20,Stable,💎37,N/A
17,Anime All-Stars [1] Crate,Uncommon,1,🔑1.8k/2viz,Stable,N/A,🪙7k
18,BLEACH CRATE,​,,,​,,
19,Bambietta's Wings,Legendary,7,🔑39.6k/44viz,Stable,"💎5,625",N/A
20,Ulquiorra's Wings,Legendary,9,🔑43.2k/48viz,Rising,"💎5,625",N/A
21,Primera's Attire,Legendary,6,🔑19.8k/22viz,Stable,"💎5,625",N/A
22,Zangetsu,Legendary,8,🔑28.8k/32viz,Rising,"💎5,625",N/A
23,Captain's Attire,Epic,8,🔑4.95k/5.5viz,Stable,💎1.5k,N/A
24,Katen Kyokotsu,Epic,6,🔑1.35k/1.5viz,Stable,💎1.5k,N/A
25,Quincy's Attire,Epic,3,🔑1.44k/1.6viz,Stable,💎1.5k,N/A
26,Kazeshini,Rare,9,🔑900/1viz,Rising,💎300,N/A
27,Kisuke's Attire,Rare,2,🔑180/0.2viz,Stable,💎300,N/A
28,Ulquiorra's Attire,Rare,8,🔑540/0.6viz,Stable,💎300,N/A
29,Benihime,Uncommon,3,🔑90/0.1viz,Stable,💎150,N/A
30,Soul Reaper's Attire,Uncommon,8,🔑360/0.4viz,Stable,💎150,N/A
31,Zangetsu [M],Uncommon,4,🔑90/0.1viz,Stable,💎150,N/A
32,Kisuke's Hat,Common,1,🔑30/📜10,Stable,💎37,N/A
33,Quincy Hat,Common,2,🔑60/📜20,Stable,💎37,N/A
34,Toshiro's Scarf,Common,2,🔑30/📜10,Stable,💎37,N/A
35,Anime All-Stars [2] Crate,Uncommon,1,🔑1350/1.5viz,Stable,N/A,🪙7k
36,DEMON SLAYER CRATE,​,,,​,,
37,Explosion Art,Legendary,3,🔑135/0.15viz,Stable,"💎5,625",N/A
38,Giyuu's Attire,Legendary,3,🔑135/0.15viz,Stable,"💎5,625",N/A
39,Nichirin Cleaver,Legendary,3,🔑135/0.15viz,Stable,"💎5,625",N/A
