,,,,,,,
1,Item Name,Rarity,Demand,Value,Rate Of Change,Tax (Gems),Tax (Gold)
2,ACHIEVEMENT,​,,,​,,
3,Crown,Legendary,2,🔑6/📜2,Stable,N/A,🪙140k-280k
4,Handkerchief,Epic,1,🔑1,Stable,N/A,🪙72k
5,Goggles,Rare,1,🔑0.1,Stable,N/A,🪙32k
6,Glasses,Rare,1,🔑0.1,Stable,N/A,🪙32k
7,ATTACK RAID,​,,,​,,
8,Attack Scars,Mythic,3,🔑5/📜2,Stable,N/A,🪙480k-960k
9,Scarf,Mythic,3,🔑6/📜2,Stable,N/A,🪙480k-960k
10,Cloak,Legendary,1,🔑2/📜1,Stable,N/A,🪙140k-280k
11,Key,Epic,1,🔑1,Stable,N/A,🪙72k
12,Lantern,Epic,1,🔑1,Stable,N/A,🪙72k
13,Journal,Rare,1,🔑0.1,Stable,N/A,🪙32k
14,ARMORED RAID,​,,,​,,
15,Warrior's Armband,Mythic,4,🔑15/📜5,Dropping,N/A,🪙480k-960k
16,Armored Scars,Mythic,7,🔑35/📜12,Dropping,N/A,🪙480k-960k
17,Rifle,Legendary,3,🔑3/📜1,Stable,N/A,🪙140k-280k
18,Backpack,Rare,1,🔑1,Stable,N/A,🪙72k
19,FEMALE RAID,​,,,​,,
20,Female Scars,Mythic,9,🔑30/📜10,Dropping,N/A,🪙480k-960k
21,Crystal Necklace,Mythic,10,🔑30/📜10,Dropping,N/A,🪙480k-960k
22,Hoodie,Legendary,6,🔑3/📜1,Stable,N/A,🪙140k
23,Ring,Epic,2,🔑1,Stable,N/A,🪙72k
24,COLOSSAL RAID,​,,,​,,
25,Colossal Scars,Mythic,10,🔑30/📜10,Dropping,N/A,🪙480k-960k
26,Scorched Cloak,Mythic,9,🔑20/📜7,Dropping,N/A,🪙480k-960k
27,Sweater,Legendary,3,🔑2/📜1,Stable,N/A,🪙140k-280k
28,Sleeping Mask,Epic,1,🔑1,Stable,N/A,🪙72k
29,WAVE ARTIFACT,​,,,​,,
30,Feathered Bicorn,Mythic,10,🔑65/📜22,Dropping,N/A,🪙480k-960k
