,,,,,,,
1,Item Name,Rarity,Demand,Value,Rate Of Change,Tax (Gems),Tax (Gold)
2,FAMILY,​,,,​,,
3,Fritz,Mythic,8,🔑2.25k/2.5viz,Dropping,💎50k,N/A
4,Helos,Mythic,8,🔑4.5k/5viz,Dropping,💎50k,N/A
5,Ackerman,Legendary,7,🔑90/📜30,Stable,💎15k,N/A
6,Yeager,Legendary,3,🔑45/📜15,Stable,💎15k,N/A
7,Reiss,Legendary,4,🔑30/📜10,Stable,💎15k,N/A
8,Leonhart,Epic,7,🔑10/📜3,Stable,💎2.5k,N/A
9,Zoe,Epic,3,🔑5/📜2,Stable,💎2.5k,N/A
10,Arlert,Epic,7,🔑10/📜3,Stable,💎2.5k,N/A
11,Tybur,Epic,1,🔑5/📜2,Stable,💎2.5k,N/A
12,Braun,Epic,1,🔑5/📜2,Stable,💎2.5k,N/A
13,Ksaver,Epic,1,🔑5/📜2,Stable,💎2.5k,N/A
14,Finger,Epic,1,🔑5/📜2,Stable,💎2.5k,N/A
15,Galliard,Epic,1,🔑5/📜2,Stable,💎2.5k,N/A
