,,,,,,,
1,Item Name,Rarity,Demand,Value,Rate Of Change,Tax (Gems),Tax (Gold)
2,PERKS +10,​,,,​,,
3,Founder's Blessing,Mythic,9,🔑35/📜12,Stable,N/A,🪙960k
4,Heavenly Restriction,Mythic,2,🔑15/📜5,Stable,N/A,🪙960k
5,Maximum Firepower,Mythic,7,🔑30/📜10,Stable,N/A,🪙960k
6,Kengo,Mythic,9,🔑35/📜12,Stable,N/A,🪙960k
7,Black Flash,Mythic,8,🔑35/📜12,Stable,N/A,🪙960k
8,Art of War,Mythic,9,🔑35/📜12,Stable,N/A,🪙960k
9,Everlasting Flame,Mythic,6,🔑20/📜7,Stable,N/A,🪙960k
10,Immortal,Mythic,9,🔑30/📜10,Stable,N/A,🪙960k
11,Explosive Fortune,Mythic,2,🔑20/📜7,Stable,N/A,🪙960k
12,Adaptation,Mythic,8,🔑35/📜12,Stable,N/A,🪙960k
13,Font of Inspiration,Mythic,9,🔑35/📜12,Stable,N/A,🪙960k
14,Soulfeed,Mythic,8,🔑25/📜8,Stable,N/A,🪙960k
15,Tatsujin,Mythic,5,🔑20/📜7,Stable,N/A,🪙960k
16,Unwavering Belief,Mythic,5,🔑40/📜13,Stable,N/A,🪙960k
17,Peerless Commander,Legendary,7,🔑8/📜3,Stable,N/A,🪙280k
18,Unparalleled Strength,Legendary,4,🔑7/📜2,Stable,N/A,🪙280k
19,Perfect Form,Legendary,4,🔑7/📜2,Stable,N/A,🪙280k
20,Eviscerate,Legendary,3,🔑7/📜2,Stable,N/A,🪙280k
21,Other Legendary Perks,Legendary,2,🔑5/📜2,Stable,N/A,🪙280k
22,PERKS +0,​,,,​,,
23,Founder's Blessing,Mythic,9,🔑20/📜7,Stable,N/A,🪙480k
24,Heavenly Restriction,Mythic,2,🔑8/📜3,Stable,N/A,🪙480k
25,Maximum Firepower,Mythic,7,🔑15/📜5,Stable,N/A,🪙480k
26,Kengo,Mythic,9,🔑20/📜7,Stable,N/A,🪙480k
27,Black Flash,Mythic,8,🔑20/📜7,Stable,N/A,🪙480k
28,Art of War,Mythic,9,🔑20/📜8,Stable,N/A,🪙480k
29,Everlasting Flame,Mythic,6,🔑10/📜3,Stable,N/A,🪙480k
30,Immortal,Mythic,9,🔑15/📜5,Stable,N/A,🪙480k
31,Explosive Fortune,Mythic,2,🔑10/📜3,Stable,N/A,🪙480k
32,Adaptation,Mythic,8,🔑20/📜7,Stable,N/A,🪙480k
33,Font of Inspiration,Mythic,9,🔑20/📜7,Stable,N/A,🪙480k
34,Soulfeed,Mythic,8,🔑15/📜5,Stable,N/A,🪙480k
35,Tatsujin,Mythic,5,🔑10/📜3,Stable,N/A,🪙480k
36,Unwavering Belief,Mythic,5,🔑20/📜7,Stable,N/A,🪙480k
37,Peerless Commander,Legendary,7,🔑4/📜1,Stable,N/A,🪙140k
38,Unparalleled Strength,Legendary,4,🔑3/📜1,Stable,N/A,🪙140k
39,Perfect Form,Legendary,4,🔑4/📜1,Stable,N/A,🪙140k
40,Eviscerate,Legendary,3,🔑3/📜1,Stable,N/A,🪙140k
41,Other Legendary Perks,Legendary,2,🔑2/📜1,Stable,N/A,🪙140k
