,,,,,,,
1,Item Name,Rarity,Demand,Value,Rate Of Change,Tax (Gems),Tax (Gold)
2,COLOSSAL RAID DROPS,​,,,​,,
3,Colossal Serum,Mythic,10,🔑405/0.45viz,Stable,💎5k,N/A
4,Colossal Shard,Legendary,6,🔑10/📜4,Dropping,N/A,🪙58k
5,Atomic Bomb,Legendary,1,🔑2/📜1,Stable,N/A,🪙58k
6,Aspiring Warrior's Attire,Epic,1,🔑1,Stable,N/A,🪙30k
7,Mushroom Cloud,Rare,1,🔑1,Stable,N/A,🪙13k
8,Superheated,Rare,1,🔑1,Stable,N/A,🪙13k
9,FEMALE RAID DROPS,​,,,​,,
10,Female Serum,Mythic,9,🔑30/📜10,Stable,💎5k,N/A
11,Female Shard,Legendary,3,🔑3/📜1,Stable,N/A,🪙58k
12,Fractured Surge,Legendary,3,🔑2/📜1,Stable,N/A,🪙58k
13,Blue Lightning,Epic,1,🔑1,Stable,N/A,🪙30k
14,Young Annie's Attire,Epic,1,🔑1,Stable,N/A,🪙30k
15,Young Annie's Rain Poncho,Epic,1,🔑1,Stable,N/A,🪙30k
16,Blazing Veil,Rare,1,🔑0,Stable,N/A,🪙13k
17,ARMORED RAID DROPS,​,,,​,,
18,Armored Serum,Mythic,7,🔑25/📜8,Stable,,
19,Armored Shard,Legendary,5,🔑6/📜2,Stable,💎5k,N/A
20,Digital Fracture,Legendary,3,🔑2/📜1,Stable,N/A,🪙58k
21,Young Reiner's Attire,Legendary,3,🔑2/📜1,Stable,N/A,🪙58k
22,Abyssion,Epic,1,🔑1,Stable,N/A,🪙30k
23,Marleyan Patch,Rare,1,🔑1,Stable,N/A,🪙13k
24,ATTACK RAID DROPS,​,,,​,,
25,Attack Serum,Mythic,6,🔑20/📜7,Stable,💎5k,N/A
26,Attack Shard,Legendary,4,🔑3/📜1,Stable,N/A,🪙58k
27,Balance,Legendary,3,🔑2/📜1,Stable,N/A,🪙58k
28,Duality,Legendary,3,🔑2/📜1,Stable,N/A,🪙58k
29,Celestial,Epic,1,🔑1,Stable,N/A,🪙30k
30,Herbal Magic,Epic,1,🔑1,Stable,N/A,🪙30k
31,Hardened Blade,Rare,1,🔑0,Stable,N/A,🪙13k
32,MISSION DROPS,​,,,​,,
33,Vizard's Mask,Mythic,8,🔑900/📜300,Stable,N/A,🪙200k
34,Radiant Headband,Mythic,2,🔑10/📜3,Stable,N/A,🪙200k
35,Angel's Halo,Mythic,1,🔑10/📜3,Stable,N/A,🪙200k
36,Grimmjow's Mask,Legendary,2,🔑2/📜1,Stable,N/A,🪙58k
37,Kitsune Mask,Legendary,1,🔑2/📜1,Stable,N/A,🪙58k
38,Shogun's Helm,Legendary,1,🔑2/📜1,Stable,N/A,🪙58k
39,Warrior's Medallion,Legendary,1,🔑2/📜1,Stable,N/A,🪙58k
40,Harden Shield,Legendary,1,🔑2/📜1,Stable,N/A,🪙58k
41,Regiment Cloak (Black),Legendary,1,🔑2/📜1,Stable,N/A,🪙58k
42,Regiment Cloak (Green),Epic,1,🔑1,Stable,N/A,🪙30k
43,Blood Vial,Epic,1,🔑1,Stable,N/A,🪙30k
44,Kitsune Ribbon,Epic,1,🔑1,Stable,N/A,🪙30k
45,Mushroom Hat,Epic,1,🔑1,Stable,N/A,🪙30k
46,Bowler Hat (White),Epic,1,🔑1,Stable,N/A,🪙30k
47,Midnight Mask,Epic,1,🔑1,Stable,N/A,🪙30k
48,Wizard Hat,Rare,1,🔑1,Stable,N/A,🪙13k
49,Recon Visor,Rare,1,🔑1,Stable,N/A,🪙13k
50,Bowler Hat (Black),Rare,1,🔑1,Stable,N/A,🪙13k
51,Altar Chains,Rare,1,🔑3/📜1,Stable,N/A,🪙13k
