,,,,,,,
1,Item Name,Rarity,Demand,Value,Rate Of Change,Tax (Gems),Tax (Gold)
2,Memory Bag,Mythic,4,🔑405/0.45viz,Stable,"💎3,750",N/A
3,Dual Cosmetic,Mythic,3,🔑270/0.3viz,Stable,💎2.5k,N/A
4,#ERROR!,Mythic,4,🔑450/0.5viz,Stable,"💎4,750",N/A
5,Family Bag,Mythic,4,🔑900/1viz,Stable,💎14k,N/A
6,Serum Bag,Mythic,3,🔑405/0.45viz,Stable,💎4750,N/A
7,Auto Sell,Mythic,2,🔑60/📜20,Stable,💎625,N/A
8,Skip Roll,Mythic,4,🔑90/0.1viz,Stable,💎625,N/A
9,Loadouts,Mythic,4,🔑270/0.3viz,Stable,💎2.5k,N/A
10,VIP,Mythic,2,🔑N/A(Pre Order),Stable,💎3k,N/A
11,VIP Server,Mythic,2,🔑630/0.7viz,Stable,💎6k,N/A
12,Advanced Customization,Mythic,3,🔑225/0.25viz,Stable,💎2k,N/A
13,12 FPS,Legendary,2,🔑20/📜7,Stable,N/A,🪙58k
14,First Day on the Job,Rare,2,🔑15/📜5,Stable,N/A,🪙13k
15,Grapple Pack [1],Common,1,🔑10/📜3,Stable,N/A,🪙3k
