,,,,,,,
1,Item Name,Rarity,Demand,Value,Rate Of Change,Tax (Gems),Tax (Gold)
2,MARKET,​,,,​,,
3,Ascendant Ticket,Legendary,5,🔑30/📜10,Stable,N/A,🪙58k
4,Lazurite Ticket,Epic,3,🔑10/📜3,Stable,N/A,🪙30k
5,Amethyst Ticket,Legendary,2,🔑20/📜7,Stable,N/A,🪙58k
6,Gilded Dice,Rare,2,🔑5/📜2,Stable,N/A,🪙13k
7,Astral Dice,Epic,3,🔑10/📜3,Stable,N/A,🪙30k
8,Ascendant Dice,Legendary,5,🔑25/📜8,Stable,N/A,🪙58k
9,Worn Key,Common,1,🔑0.1,Stable,N/A,🪙3k
10,Wallsteel Key,Rare,1,🔑0.3,Stable,N/A,🪙13k
11,Command Key,Epic,1,🔑0.7,Stable,N/A,🪙30k
12,Lazurite Key,Legendary,1,🔑2.6/📜1,Stable,N/A,🪙58k
13,Crimson Key,Mythic,3,🔑10/📜3,Stable,N/A,🪙200k
14,Luck Potion 2h,Legendary,9,🔑15/📜5,Stable,N/A,🪙58k
15,Exp Potion 2h,Legendary,4,🔑10/📜4,Stable,N/A,🪙58k
16,Gold Potion 2h,Legendary,8,🔑10/📜4,Stable,N/A,🪙58k
17,Emperor's Key,Epic,7,🔑1,Stable,N/A,🪙30k
18,Memory Scroll,Rare,7,🔑3/📜1,Stable,N/A,🪙13k
19,Attack Shard,Legendary,3,🔑3/📜1,Stable,N/A,🪙58k
20,Armored Shard,Legendary,5,🔑5/📜2,Stable,N/A,🪙58k
21,Female Shard,Legendary,3,🔑3/📜1,Stable,N/A,🪙58k
22,Colossal Shard,Legendary,6,🔑10/📜4,Stable,N/A,🪙58k
